2025-12-06 08:53:30.630 | DEBUG    | TelegramMessage                          | start done
2025-12-06 08:53:30.630 | INFO     | MexcPumpBot                              | 🚀 Initializing MEXC Pump Bot with BotManager...
2025-12-06 08:53:31.686 | DEBUG    | MexcPumpBot                              | Symbol BTC_USDT in black list, skipped
2025-12-06 08:53:31.686 | DEBUG    | MexcPumpBot                              | Symbol ETH_USDT in black list, skipped
2025-12-06 08:53:31.687 | DEBUG    | MexcPumpBot                              | Symbol XRP_USDT in black list, skipped
2025-12-06 08:53:31.687 | DEBUG    | MexcPumpBot                              | Symbol NEO_USDT in black list, skipped
2025-12-06 08:53:31.688 | DEBUG    | MexcPumpBot                              | Symbol QKC_USDT in black list, skipped
2025-12-06 08:53:31.688 | INFO     | MexcPumpBot                              | ✅ Loaded 724 valid USDT symbols
2025-12-06 08:53:31.689 | INFO     | MexcPumpBot                              | ✅ Loaded 724 symbols
2025-12-06 08:53:31.689 | INFO     | MexcPumpBot                              | ⚙️  Pump Detector Config (EASY MODE - Many signals):
2025-12-06 08:53:31.689 | INFO     | MexcPumpBot                              |    {
    "price_increase_1m": 0.5,
    "price_increase_5m": 1.0,
    "volume_spike_multiplier": 1.5,
    "min_volume_usdt": 100,
    "rsi_period": 14,
    "rsi_overbought": 50,
    "momentum_threshold": 1.0,
    "min_confidence": 40,
    "recent_pump_price_threshold": 10.0,
    "recent_pump_volume_threshold": 5.0
}
2025-12-06 08:53:31.690 | INFO     | StrategyManager                          | 🔧 Generating 1000000 strategies (50% LONG, 50% SHORT)...
2025-12-06 08:53:33.841 | INFO     | StrategyManager                          | ✅ Generated 588000 strategies
2025-12-06 08:53:33.841 | INFO     | StrategyManager                          |    📈 294000 LONG strategies
2025-12-06 08:53:33.841 | INFO     | StrategyManager                          |    📉 294000 SHORT strategies
2025-12-06 08:53:34.075 | INFO     | StrategyManager                          |    💡 70560 LONG + 70560 SHORT with EASY conditions
2025-12-06 08:53:34.076 | INFO     | StrategyManager                          | 📋 Sample strategies:
2025-12-06 08:53:34.076 | INFO     | StrategyManager                          |   #1 LONG: TP=2% SL=1% Vol>=1.0x Conf>=30%
2025-12-06 08:53:34.117 | INFO     | StrategyManager                          |   #294001 SHORT: TP=2% SL=1% Vol>=1.0x Conf>=30%
2025-12-06 08:53:34.895 | INFO     | MexcPumpBot                              | ✅ Database initialized
2025-12-06 08:53:34.896 | INFO     | BotManager                               | 🤖 Initializing BotManager...
2025-12-06 08:53:34.914 | INFO     | BotManager                               | Loaded 0 bots from database
2025-12-06 08:53:34.914 | INFO     | BotManager                               | ✅ BotManager initialized with 0 bots
2025-12-06 08:53:34.914 | INFO     | MexcPumpBot                              | ✅ Bot initialized successfully
2025-12-06 08:53:34.915 | INFO     | TelegramMessage                          | start _worker
2025-12-06 08:53:34.915 | DEBUG    | MexcSocket                               | MexcSocket connect
2025-12-06 08:53:34.915 | DEBUG    | MexcSocket                               | start done
2025-12-06 08:53:34.915 | INFO     | MexcPumpBot                              | ✅ Bot is running in backtest mode!
2025-12-06 08:53:35.493 | DEBUG    | MexcSocket                               | ✅ MexcSocket Connected to MEXC WebSocket
2025-12-06 08:53:35.494 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SOL_USDT - Min1
2025-12-06 08:53:35.495 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LUNC_USDT - Min1
2025-12-06 08:53:35.497 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ZEC_USDT - Min1
2025-12-06 08:53:35.498 | DEBUG    | MexcSocket                               | 📡 Subscribed to: XNY_USDT - Min1
2025-12-06 08:53:35.499 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PIPPIN_USDT - Min1
2025-12-06 08:53:35.500 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SUI_USDT - Min1
2025-12-06 08:53:35.502 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SEEK_USDT - Min1
2025-12-06 08:53:35.503 | DEBUG    | MexcSocket                               | 📡 Subscribed to: XNAP_USDT - Min1
2025-12-06 08:53:35.504 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LINK_USDT - Min1
2025-12-06 08:53:35.506 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LUNANEW_USDT - Min1
2025-12-06 08:53:35.507 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SAPIEN_USDT - Min1
2025-12-06 08:53:35.508 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ASTER_USDT - Min1
2025-12-06 08:53:35.508 | DEBUG    | MexcSocket                               | 📡 Subscribed to: DOGE_USDT - Min1
2025-12-06 08:53:35.508 | DEBUG    | MexcSocket                               | 📡 Subscribed to: FARTCOIN_USDT - Min1
2025-12-06 08:53:35.508 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TAO_USDT - Min1
2025-12-06 08:53:35.509 | DEBUG    | MexcSocket                               | 📡 Subscribed to: AVAX_USDT - Min1
2025-12-06 08:53:35.509 | DEBUG    | MexcSocket                               | 📡 Subscribed to: CVC_USDT - Min1
2025-12-06 08:53:35.509 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BIT_USDT - Min1
2025-12-06 08:53:35.509 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ACE_USDT - Min1
2025-12-06 08:53:35.510 | DEBUG    | MexcSocket                               | 📡 Subscribed to: POWER_USDT - Min1
2025-12-06 08:53:35.510 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ENA_USDT - Min1
2025-12-06 08:53:35.510 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ADA_USDT - Min1
2025-12-06 08:53:35.510 | DEBUG    | MexcSocket                               | 📡 Subscribed to: HYPE_USDT - Min1
2025-12-06 08:53:35.510 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TRADOOR_USDT - Min1
2025-12-06 08:53:35.511 | DEBUG    | MexcSocket                               | 📡 Subscribed to: AIA_USDT - Min1
2025-12-06 08:53:35.511 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BOBA_USDT - Min1
2025-12-06 08:53:35.511 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PIEVERSE_USDT - Min1
2025-12-06 08:53:35.511 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BNB_USDT - Min1
2025-12-06 08:53:35.512 | DEBUG    | MexcSocket                               | 📡 Subscribed to: GAIX_USDT - Min1
2025-12-06 08:53:35.512 | DEBUG    | MexcSocket                               | 📡 Subscribed to: APT_USDT - Min1
2025-12-06 08:53:35.512 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PEPE_USDT - Min1
2025-12-06 08:53:35.512 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ARTX_USDT - Min1
2025-12-06 08:53:35.513 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LTC_USDT - Min1
2025-12-06 08:53:35.513 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LIGHT_USDT - Min1
2025-12-06 08:53:35.513 | DEBUG    | MexcSocket                               | 📡 Subscribed to: DIGI_USDT - Min1
2025-12-06 08:53:35.513 | DEBUG    | MexcSocket                               | 📡 Subscribed to: HBAR_USDT - Min1
2025-12-06 08:53:35.513 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ICP_USDT - Min1
2025-12-06 08:53:35.514 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BCH_USDT - Min1
2025-12-06 08:53:35.514 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BUILDONBOB_USDT - Min1
2025-12-06 08:53:35.514 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SKATE_USDT - Min1
2025-12-06 08:53:35.514 | DEBUG    | MexcSocket                               | 📡 Subscribed to: AAVE_USDT - Min1
2025-12-06 08:53:35.515 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TAIKO_USDT - Min1
2025-12-06 08:53:35.515 | DEBUG    | MexcSocket                               | 📡 Subscribed to: NOBODY_USDT - Min1
2025-12-06 08:53:35.515 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PUMPFUN_USDT - Min1
2025-12-06 08:53:35.515 | DEBUG    | MexcSocket                               | 📡 Subscribed to: USTC_USDT - Min1
2025-12-06 08:53:35.515 | DEBUG    | MexcSocket                               | 📡 Subscribed to: NEAR_USDT - Min1
2025-12-06 08:53:35.516 | DEBUG    | MexcSocket                               | 📡 Subscribed to: WIF_USDT - Min1
2025-12-06 08:53:35.516 | DEBUG    | MexcSocket                               | 📡 Subscribed to: RECALL_USDT - Min1
2025-12-06 08:53:35.516 | DEBUG    | MexcSocket                               | 📡 Subscribed to: XPL_USDT - Min1
2025-12-06 08:53:35.516 | DEBUG    | MexcSocket                               | 📡 Subscribed to: MAIGA_USDT - Min1
2025-12-06 08:53:35.516 | DEBUG    | MexcSocket                               | 📡 Subscribed to: WLD_USDT - Min1
2025-12-06 08:53:35.517 | DEBUG    | MexcSocket                               | 📡 Subscribed to: STABLE_USDT - Min1
2025-12-06 08:53:35.517 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ZEN_USDT - Min1
2025-12-06 08:53:35.517 | DEBUG    | MexcSocket                               | 📡 Subscribed to: STRK_USDT - Min1
2025-12-06 08:53:35.517 | DEBUG    | MexcSocket                               | 📡 Subscribed to: DOT_USDT - Min1
2025-12-06 08:53:35.518 | DEBUG    | MexcSocket                               | 📡 Subscribed to: XAUT_USDT - Min1
2025-12-06 08:53:35.518 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TIA_USDT - Min1
2025-12-06 08:53:35.518 | DEBUG    | MexcSocket                               | 📡 Subscribed to: EGLD_USDT - Min1
2025-12-06 08:53:35.518 | DEBUG    | MexcSocket                               | 📡 Subscribed to: WET_USDT - Min1
2025-12-06 08:53:35.518 | DEBUG    | MexcSocket                               | 📡 Subscribed to: UNI_USDT - Min1
2025-12-06 08:53:35.519 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SHIB_USDT - Min1
2025-12-06 08:53:35.519 | DEBUG    | MexcSocket                               | 📡 Subscribed to: FET_USDT - Min1
2025-12-06 08:53:35.519 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ALCH_USDT - Min1
2025-12-06 08:53:35.519 | DEBUG    | MexcSocket                               | 📡 Subscribed to: MONAD_USDT - Min1
2025-12-06 08:53:35.520 | DEBUG    | MexcSocket                               | 📡 Subscribed to: RIVER_USDT - Min1
